,Unnamed: 0,Unnamed: 0.1,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant,description
66,1,1,MenuItem,Tequeños de maíz,Offer,7.5,EUR,Tequeños,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
67,2,2,MenuItem,Opciones gratuitas para cada uno:,,,,Tequeños,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
68,0,0,MenuItem,Tarta de zanahoria,Offer,4.9,EUR,Postre,9.1,None,"""Calle de Argumosa","""geo"":{""latitude"":40.4084188,""longitude"":-3.6991301",Tatema,
69,1,1,MenuItem,Ganache de dos chocolates,Offer,5.9,EUR,Postre,9.1,None,"""Calle de Argumosa","""geo"":{""latitude"":40.4084188,""longitude"":-3.6991301",Tatema,
70,2,2,MenuItem,Cava y limón,Offer,4.5,EUR,Postre,9.1,None,"""Calle de Argumosa","""geo"":{""latitude"":40.4084188,""longitude"":-3.6991301",Tatema,
71,0,0,MenuItem,Margariteña,,,,Arepas premium 7.90€,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
72,1,1,MenuItem,Llanerísima,,,,Arepas premium 7.90€,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
73,2,2,MenuItem,Parrillera,,,,Arepas premium 7.90€,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
74,3,3,MenuItem,Super Sifrina,,,,Arepas premium 7.90€,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
75,0,0,MenuItem,Entrante,,,,Menú 28 €,8.9,"""Español""","""Calle de la Infanta Mercedes","""geo"":{""latitude"":40.454792,""longitude"":-3.6989494",Seducción a la Carta,Aperitivo de la casa\nTerrina de foie con coulis de frambuesa y royal de PX\nCrujiente de Langostinos y verduritas tiernas\nAlcachofas confitadas\nSeduccion de Huevo trufa y carabineros
76,1,1,MenuItem,PLATO PRICIAL A ELEGIR,,,,Menú 28 €,8.9,"""Español""","""Calle de la Infanta Mercedes","""geo"":{""latitude"":40.454792,""longitude"":-3.6989494",Seducción a la Carta,Lomo bajo de vaca a la parrilla\nCarrillera estofada al estilo del chef\nbacalao gourmet a los 2 gustos\nRisotto de hongo y trufa\nTortelloni Rosini rellenos de foie con reduccion de uva verde
77,2,2,MenuItem,Postre,,,,Menú 28 €,8.9,"""Español""","""Calle de la Infanta Mercedes","""geo"":{""latitude"":40.454792,""longitude"":-3.6989494",Seducción a la Carta,Brownie de chocolate y nuezes con helado de Vainilla
78,3,3,MenuItem,Bebida,,,,Menú 28 €,8.9,"""Español""","""Calle de la Infanta Mercedes","""geo"":{""latitude"":40.454792,""longitude"":-3.6989494",Seducción a la Carta,Una bebida incluida por persona.\nMini gin Tonic.
79,0,0,MenuItem,Anchoas del Cantábrico sobre pan de cristal y aguacate,Offer,21.0,EUR,Seducción ahumada,8.9,"""Español""","""Calle de la Infanta Mercedes","""geo"":{""latitude"":40.454792,""longitude"":-3.6989494",Seducción a la Carta,
80,1,1,MenuItem,Seducción de ahumados,Offer,20.0,EUR,Seducción ahumada,8.9,"""Español""","""Calle de la Infanta Mercedes","""geo"":{""latitude"":40.454792,""longitude"":-3.6989494",Seducción a la Carta,
81,2,2,MenuItem,Sardina ahumada sobre pan de cristal y piquillo,Offer,18.0,EUR,Seducción ahumada,8.9,"""Español""","""Calle de la Infanta Mercedes","""geo"":{""latitude"":40.454792,""longitude"":-3.6989494",Seducción a la Carta,
82,0,0,MenuItem,Botella de champán,,,,Bebidas,9.1,None,"""Calle de Argumosa","""geo"":{""latitude"":40.4084188,""longitude"":-3.6991301",Tatema,
83,1,1,MenuItem,Copa de champán,,,,Bebidas,9.1,None,"""Calle de Argumosa","""geo"":{""latitude"":40.4084188,""longitude"":-3.6991301",Tatema,
84,2,2,MenuItem,Café,Offer,1.0,EUR,Bebidas,9.1,None,"""Calle de Argumosa","""geo"":{""latitude"":40.4084188,""longitude"":-3.6991301",Tatema,
