,product,price,type,rating,cuisine,restaurant,lat,log
161,"bollywood rezala (marinado cocinado con pimientos rojo, cebolla roja y salsa suave)",11.9,plato,9.4,indio,shampan indian,40.4177183,-3.6716143
162,rajastani phal (cocinado en una salsa de especias variada muy picante),11.2,plato,9.4,indio,shampan indian,40.4177183,-3.6716143
163,mumbai sizzling (carne marinada salteados con verduras en salsa de gravy masala),11.5,plato,9.4,indio,shampan indian,40.4177183,-3.6716143
164,"deshi curry (ahumados marinado cocinado con salsa especias, zanahorias y pepino)",11.9,plato,9.4,indio,shampan indian,40.4177183,-3.6716143
165,zha hong shu,5.0,plato,8.7,chino,donghua house,40.44839,-3.7053
166,jiao yan ji chi,5.0,plato,8.7,chino,donghua house,40.44839,-3.7053
167,zha xiao zhang yu,7.5,plato,8.7,chino,donghua house,40.44839,-3.7053
168,onion miso soup,6.9,plato,8.7,japones,le club sushita,40.4199579,-3.6905829
169,ensalada wakame,5.9,plato,8.7,japones,le club sushita,40.4199579,-3.6905829
170,tarta de oreo,4.2,postre,9,americano,bbq burger - mendez alvaro,40.3986936,-3.6846057
171,brownie,4.2,postre,9,americano,bbq burger - mendez alvaro,40.3986936,-3.6846057
172,tarta de chocolate,4.2,postre,9,americano,bbq burger - mendez alvaro,40.3986936,-3.6846057
173,tarta de queso,4.2,postre,9,americano,bbq burger - mendez alvaro,40.3986936,-3.6846057
174,tarta de carrot cake,4.2,postre,9,americano,bbq burger - mendez alvaro,40.3986936,-3.6846057
175,batidos,4.2,postre,9,americano,bbq burger - mendez alvaro,40.3986936,-3.6846057
180,cafe,1.9,bebida,9.5,none,kuoco 360 food,40.4219544,-3.6983886
182,media botella de agua,2.0,bebida,9.5,none,kuoco 360 food,40.4219544,-3.6983886
183,botella de vino,16.0,bebida,9.5,none,kuoco 360 food,40.4219544,-3.6983886
184,copa de vino,3.0,bebida,9.5,none,kuoco 360 food,40.4219544,-3.6983886
185,wonton de queso y dulce de leche con helado,6.0,postre,8.7,japones,nacionsushi madrid,40.4272672,-3.6845496
186,tempura de platano con helado,6.0,postre,8.7,japones,nacionsushi madrid,40.4272672,-3.6845496
187,empanadilla de foie y trufa,36.0,plato,9.6,none,horcher,40.4186957,-3.6890673
188,vieiras con un pure de apionabo y y crema de aceituna negra,33.0,plato,9.6,none,horcher,40.4186957,-3.6890673
189,huevo poche sobre kartoffelpuffer,33.0,plato,9.6,none,horcher,40.4186957,-3.6890673
190,menestra de verduras de la huerta,32.0,plato,9.6,none,horcher,40.4186957,-3.6890673
191,cangrejo blando en tempura con salsa picante,28.0,plato,9.6,none,horcher,40.4186957,-3.6890673
192,fondos de alcachofas rellenos de: setas,33.0,plato,9.6,none,horcher,40.4186957,-3.6890673
193,foie con reduccion de oporto,38.0,plato,9.6,none,horcher,40.4186957,-3.6890673
